"","Tech","input","disasg","level","Estimate","Estimate.sd","jack_pv"
"4","High","Meta-technical-efficiency","CROP","Yam",1.78594480399115,0.681786461974428,0.01018
"7","Medium","Meta-technical-efficiency","CROP","Cocoa",1.79497975264507,0.49426283345407,0.00045
"10","High","Meta-technical-efficiency","CROP","Cocoa",6.39466956475404,0.139918913812021,0
"13","Medium","Meta-technical-efficiency","CROP","Millet",2.57478720822102,0.428991092563868,0
"16","High","Meta-technical-efficiency","CROP","Millet",8.54417549942499,0.702538343065155,0
"19","Medium","Meta-technical-efficiency","CROP","Palm",3.41574148307901,0.509833415513753,0
"22","High","Meta-technical-efficiency","CROP","Palm",4.6362817728093,0.538237185644047,0
"25","Medium","Meta-technical-efficiency","CROP","Cassava",4.02565463328083,0.466811511367794,0
"28","High","Meta-technical-efficiency","CROP","Cassava",7.09453912884659,0.319774926065695,0
"31","Medium","Meta-technical-efficiency","CROP","Beans",4.99034392097728,0.32337546341356,0
"34","High","Meta-technical-efficiency","CROP","Beans",16.3302002157602,0.704575696544716,0
"37","Medium","Meta-technical-efficiency","CROP","Plantain",5.71709987259656,0.330505802637039,0
"40","High","Meta-technical-efficiency","CROP","Plantain",5.5184267241146,0.23261912303821,0
"43","Medium","Meta-technical-efficiency","CROP","Peanut",6.49261739200064,0.363127550156233,0
"46","High","Meta-technical-efficiency","CROP","Peanut",15.3358428000877,0.635715983584541,0
"49","Medium","Meta-technical-efficiency","CROP","Maize",6.67430078371993,0.200996394939587,0
"52","High","Meta-technical-efficiency","CROP","Maize",9.30989766091473,0.337139034321327,0
"55","Medium","Meta-technical-efficiency","CROP","Cocoyam",8.63939182447499,0.528869688366974,0
"58","High","Meta-technical-efficiency","CROP","Cocoyam",-0.141121081336154,0.275649463926473,0.60981
"61","Medium","Meta-technical-efficiency","CROP","Pepper",9.01013935812375,0.403218252617675,0
"64","High","Meta-technical-efficiency","CROP","Pepper",14.0825727696156,0.615062484936852,0
"67","Medium","Meta-technical-efficiency","CROP","Rice",9.98422661956513,0.4205947868018,0
"70","High","Meta-technical-efficiency","CROP","Rice",16.6427149325501,0.737685535052702,0
"73","Medium","Meta-technical-efficiency","CROP","Sorghum",10.0119153032609,0.376080973294781,0
"76","High","Meta-technical-efficiency","CROP","Sorghum",22.1592429100297,0.9349061491477,0
"79","Medium","Meta-technical-efficiency","CROP","Other",10.9404778039705,0.279173700961323,0
"82","High","Meta-technical-efficiency","CROP","Other",16.9641188690974,0.444472080086896,0
"85","Medium","Meta-technical-efficiency","CROP","Tomatoe",12.7235777985082,0.612392992974043,0
"88","High","Meta-technical-efficiency","CROP","Tomatoe",13.935825442747,0.783291056325638,0
"91","Medium","Meta-technical-efficiency","CROP","Okra",15.1949896633809,0.524533023836913,0
"94","High","Meta-technical-efficiency","CROP","Okra",22.5783701820061,0.831551655863565,0
